com.samsung.shealth.step_daily_trend,6320001,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
30ab5136-6b9f-480a-9c3e-edacea51c89a.binning_data.json,2024-09-13 10:19:21.461,2024-09-13 10:19:21.461,com.sec.android.app.shealth,0,32700,5.7777777,29381.42,2227.1,4FEhL4nduw,com.sec.android.app.shealth,30ab5136-6b9f-480a-9c3e-edacea51c89a,1429315200000,
8e00fb77-2cd7-48c7-b06a-0773563c1c5a.binning_data.json,2024-09-13 10:19:21.461,2024-09-13 10:19:21.461,com.sec.android.app.shealth,0,236,1.7777778,187.96,12.32,4FEhL4nduw,com.sec.android.app.shealth,8e00fb77-2cd7-48c7-b06a-0773563c1c5a,1429401600000,
c2379e24-cdee-4667-b524-339d1059a4db.binning_data.json,2024-09-13 10:19:21.461,2024-09-13 10:19:21.461,com.sec.android.app.shealth,0,21553,6.9444447,18532.49,1331.18,4FEhL4nduw,com.sec.android.app.shealth,c2379e24-cdee-4667-b524-339d1059a4db,1429488000000,
a65c6fca-314e-41dc-b8fa-ad88d143afcd.binning_data.json,2024-09-13 10:19:21.461,2024-09-13 10:19:21.461,com.sec.android.app.shealth,0,17893,5.0833344,15590.579,1145.91,4FEhL4nduw,com.sec.android.app.shealth,a65c6fca-314e-41dc-b8fa-ad88d143afcd,1429574400000,
46040530-1527-4a23-b969-89df5d1b8a89.binning_data.json,2024-09-13 10:19:21.461,2024-09-13 10:19:21.461,com.sec.android.app.shealth,0,11225,4.1944447,9663.69,688.34,4FEhL4nduw,com.sec.android.app.shealth,46040530-1527-4a23-b969-89df5d1b8a89,1429660800000,
bd1d0d9b-f0d4-4d51-8cc2-c754d996b0e7.binning_data.json,2024-09-13 10:19:21.461,2024-09-13 10:19:21.461,com.sec.android.app.shealth,0,2784,3.3888888,2687.46,228.73,4FEhL4nduw,com.sec.android.app.shealth,bd1d0d9b-f0d4-4d51-8cc2-c754d996b0e7,1429747200000,
df8acb1c-c1a6-44b8-822b-cbb57fcf4de2.binning_data.json,2024-09-13 10:19:21.461,2024-09-13 10:19:21.461,com.sec.android.app.shealth,0,17191,6.9444447,15609.84,1180.72,4FEhL4nduw,com.sec.android.app.shealth,df8acb1c-c1a6-44b8-822b-cbb57fcf4de2,1429833600000,
07e49638-29f1-403d-9896-7f70df7f2274.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,23611,5.888888,22467.64,1834.3,4FEhL4nduw,com.sec.android.app.shealth,07e49638-29f1-403d-9896-7f70df7f2274,1429920000000,
b3c7c469-89ea-48bb-a0a9-caef9426b132.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,29240,4.0277777,24871.13,1747.61,4FEhL4nduw,com.sec.android.app.shealth,b3c7c469-89ea-48bb-a0a9-caef9426b132,1430006400000,
b2974a54-4458-4c28-91e4-ea990555bc2d.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,4597,4.0555553,3911.66,247.26,4FEhL4nduw,com.sec.android.app.shealth,b2974a54-4458-4c28-91e4-ea990555bc2d,1430092800000,
da1fc131-e45c-4074-8bb2-570ccfb89c18.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,19387,4.1666665,16867.64,1147.55,4FEhL4nduw,com.sec.android.app.shealth,da1fc131-e45c-4074-8bb2-570ccfb89c18,1430179200000,
737698bc-7910-4b00-beac-8b62bcf9f309.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,5732,5.8816195,4717.9604,318.29,4FEhL4nduw,com.sec.android.app.shealth,737698bc-7910-4b00-beac-8b62bcf9f309,1430265600000,
bede7be7-4497-4c85-a5bf-af8e0b2dee8a.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,15963,6.9444447,13973.969,966.49005,4FEhL4nduw,com.sec.android.app.shealth,bede7be7-4497-4c85-a5bf-af8e0b2dee8a,1430352000000,
d5a5e6ce-4577-4dc6-8c75-a86d00024476.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,11579,3.9722216,9754.529,700.4101,4FEhL4nduw,com.sec.android.app.shealth,d5a5e6ce-4577-4dc6-8c75-a86d00024476,1430438400000,
3b6e72bb-6958-447a-ad8b-34d790a89ab1.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,14714,3.2777774,12378.7295,858.67004,4FEhL4nduw,com.sec.android.app.shealth,3b6e72bb-6958-447a-ad8b-34d790a89ab1,1430524800000,
fbb7cd68-3bce-4bd2-8fe2-13d52f6e385d.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,9444,5.6666665,8303.04,616.98004,4FEhL4nduw,com.sec.android.app.shealth,fbb7cd68-3bce-4bd2-8fe2-13d52f6e385d,1430611200000,
a12ad054-fb5d-4383-bb8c-0affc00cc827.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,20036,6.333334,17048.25,1209.28,4FEhL4nduw,com.sec.android.app.shealth,a12ad054-fb5d-4383-bb8c-0affc00cc827,1430697600000,
a81d9061-4315-4a40-87e6-3ec809227897.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,12101,3.25,10502.82,756.58,4FEhL4nduw,com.sec.android.app.shealth,a81d9061-4315-4a40-87e6-3ec809227897,1430784000000,
4400ef39-7716-478b-84bf-14c8e5f883ad.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,6736,3.5833333,5729.9604,392.56006,4FEhL4nduw,com.sec.android.app.shealth,4400ef39-7716-478b-84bf-14c8e5f883ad,1430870400000,
d584d573-5dac-4e97-bb20-bf201e55bfe3.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,8862,3.4166667,7819.1904,593.31,4FEhL4nduw,com.sec.android.app.shealth,d584d573-5dac-4e97-bb20-bf201e55bfe3,1430956800000,
7b69916b-f493-4518-a4d3-ba775fca65c3.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,7248,3.0833328,6084.13,425.72006,4FEhL4nduw,com.sec.android.app.shealth,7b69916b-f493-4518-a4d3-ba775fca65c3,1431043200000,
00112dd2-0fdd-4761-ac4b-2836e7a0c325.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,15624,3.6111112,13350.58,953.9601,4FEhL4nduw,com.sec.android.app.shealth,00112dd2-0fdd-4761-ac4b-2836e7a0c325,1431129600000,
5e58f4c8-eac2-4026-bf33-37cfae57145c.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,16153,3.5555556,14358.38,1084.1201,4FEhL4nduw,com.sec.android.app.shealth,5e58f4c8-eac2-4026-bf33-37cfae57145c,1431216000000,
106e1297-b091-4da2-9d73-2235ca3528e1.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,12340,5.1111116,10486.57,683.41003,4FEhL4nduw,com.sec.android.app.shealth,106e1297-b091-4da2-9d73-2235ca3528e1,1431302400000,
3b59394c-d848-413f-84b5-c6bd86d2d4da.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,5181,4.9722223,4564.18,321.51,4FEhL4nduw,com.sec.android.app.shealth,3b59394c-d848-413f-84b5-c6bd86d2d4da,1431388800000,
c0bf2d40-dc92-4000-86b7-bf62ca48b454.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,14180,4.6666665,11852.181,828.4,4FEhL4nduw,com.sec.android.app.shealth,c0bf2d40-dc92-4000-86b7-bf62ca48b454,1431475200000,
1a40a471-0801-4b21-9769-83daa8acf517.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,3510,6.9444447,3128.4001,235.07,4FEhL4nduw,com.sec.android.app.shealth,1a40a471-0801-4b21-9769-83daa8acf517,1431561600000,
07c2ff3a-08ae-4855-a2dc-8195a689621f.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,6379,3.8888886,5560.31,404.99005,4FEhL4nduw,com.sec.android.app.shealth,07c2ff3a-08ae-4855-a2dc-8195a689621f,1431648000000,
c021fd95-fc59-4254-9ab6-29bd6d1a7b70.binning_data.json,2024-09-13 10:19:21.462,2024-09-13 10:19:21.462,com.sec.android.app.shealth,0,21668,3.999229,19625.95,1480.45,4FEhL4nduw,com.sec.android.app.shealth,c021fd95-fc59-4254-9ab6-29bd6d1a7b70,1431734400000,
