com.samsung.shealth.stand_day_summary,6320001,2
create_sh_ver,stand_time,modify_sh_ver,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
,0,,2019-06-22 15:00:03.736,2019-06-22 15:00:03.736,6fBBpnPaJ6,com.sec.android.app.shealth,d1bd7f11-e69f-7526-71e8-028500277ff9,1561248000000,
,4718592,,2019-06-24 13:32:46.386,2019-06-23 15:00:02.940,6fBBpnPaJ6,com.sec.android.app.shealth,134c8c7b-97a1-db96-c9ac-9e76523deeb1,1561334400000,
,0,,2019-06-24 15:00:17.474,2019-06-24 15:00:17.474,6fBBpnPaJ6,com.sec.android.app.shealth,85b5750b-7d0e-6051-8e4f-e9ee84f00e3f,1561420800000,
,1572864,,2019-06-26 11:25:42.460,2019-06-25 15:00:06.102,6fBBpnPaJ6,com.sec.android.app.shealth,3567f8a6-dc52-0c6f-d09f-637dd3187f38,1561507200000,
,524288,,2019-06-27 10:34:21.404,2019-06-26 15:00:05.530,6fBBpnPaJ6,com.sec.android.app.shealth,0a90b790-c2c9-1619-28e4-fc1cbf27c682,1561593600000,
,131072,,2019-06-28 08:38:58.209,2019-06-27 15:00:04.432,6fBBpnPaJ6,com.sec.android.app.shealth,7790fea6-cb42-a970-6045-26049ecec7d6,1561680000000,
,1048576,,2019-06-29 11:48:19.432,2019-06-28 15:00:06.687,6fBBpnPaJ6,com.sec.android.app.shealth,a602b226-d811-2b55-81df-2aa21ae34e6d,1561766400000,
,262144,,2019-06-30 09:44:27.418,2019-06-29 15:00:04.174,6fBBpnPaJ6,com.sec.android.app.shealth,761ae3ae-e85b-e9c0-01b4-d1af5e333596,1561852800000,
,1802240,,2019-07-01 11:44:19.296,2019-06-30 15:00:04.745,6fBBpnPaJ6,com.sec.android.app.shealth,ff9e0229-dc50-42fb-3549-cc5cd0068ac7,1561939200000,
,2195456,,2019-07-02 12:16:20.333,2019-07-01 15:00:02.920,6fBBpnPaJ6,com.sec.android.app.shealth,e021913a-18d0-5cdc-b9cf-da42b87d12a8,1562025600000,
,2654208,,2019-07-03 12:02:10.299,2019-07-02 15:00:04.031,6fBBpnPaJ6,com.sec.android.app.shealth,bd27f943-d77f-dec6-e689-bc7f1dc807d6,1562112000000,
,0,,2019-07-03 15:00:05.790,2019-07-03 15:00:05.789,6fBBpnPaJ6,com.sec.android.app.shealth,29ddd791-64b9-def8-6bd5-709342b8952d,1562198400000,
,65536,,2019-07-05 07:36:44.364,2019-07-04 15:00:03.521,6fBBpnPaJ6,com.sec.android.app.shealth,a5c23b43-76b1-b308-8f1a-52cf6178e861,1562284800000,
,1212416,,2019-07-06 11:24:24.338,2019-07-05 15:00:05.515,6fBBpnPaJ6,com.sec.android.app.shealth,b4e6319d-de56-60a4-bb07-edfb0dd6c6e2,1562371200000,
