com.samsung.shealth.program.sleep_coaching.mission,6320001,3
create_sh_ver,answer,priority,modify_sh_ver,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
62600630,null,7,62600630,2024-01-17 13:09:48.365,2024-01-17 13:09:48.365,2,3,HB_07,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,9fe18056-248b-4d86-b660-6f15e9a7548c,0,
62600630,null,3,62600630,2024-01-17 13:09:48.365,2024-01-17 13:09:48.365,2,3,HB_03,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,129c5df2-e9e9-4a37-a1cc-c442540335a8,0,
62600630,null,5,62600630,2024-01-17 13:09:48.365,2024-01-17 13:09:48.365,2,3,HB_05,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,872b65af-1cc3-4705-af92-a846879a8a2c,0,
62600630,null,6,62600630,2024-01-17 13:09:48.365,2024-01-17 13:09:48.365,2,3,HB_06,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,8d94f79b-d7e7-4c8b-8783-7413517788b9,0,
62600630,null,8,62600630,2024-01-17 13:09:48.365,2024-01-17 13:09:48.365,2,3,HB_08,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,0cec92e1-63f6-41ad-b8a9-31c245d56963,0,
62600630,null,9,62600630,2024-01-17 13:09:48.365,2024-01-17 13:09:48.365,2,3,HB_09,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,2007d287-ae8b-470c-ab23-7c029f4242fd,0,
62600630,null,1,62600630,2024-01-17 13:09:48.365,2024-01-17 13:09:48.365,2,4,HB_01,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,13a5d5cb-3334-4d7a-8c31-bf59c17e5263,0,
62600630,null,7,62900750,2025-01-22 09:40:24.930,2024-01-17 13:09:48.366,2,4,HB_07,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,fde1a41c-1fed-45aa-a666-6fb4e38eb3b1,3,
62600630,null,3,62600630,2024-01-17 13:09:48.366,2024-01-17 13:09:48.366,2,4,HB_03,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,2b17f3cb-144b-4e34-80d3-18462d8bab82,0,
62600630,null,5,62600630,2024-01-17 13:09:48.366,2024-01-17 13:09:48.366,2,4,HB_05,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,7d6edf79-c449-4f18-943c-e0b62f2b261c,0,
62600630,null,6,62600630,2024-01-17 13:09:48.366,2024-01-17 13:09:48.366,2,4,HB_06,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,6577b550-30bc-461d-a9db-8d81ac6a0882,0,
62600630,null,8,62600630,2024-01-17 13:09:48.366,2024-01-17 13:09:48.366,2,4,HB_08,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,146b9e6d-ff6d-4f19-ac3d-f91d310fa8d9,0,
62600630,null,9,62600630,2024-01-17 13:09:48.366,2024-01-17 13:09:48.366,2,4,HB_09,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,cb94e351-5064-43cc-b947-e96a22669cfa,0,
62600630,null,1,62600630,2024-01-17 13:09:48.366,2024-01-17 13:09:48.366,2,5,HB_01,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,d6f606a3-2583-4c2c-b20a-01ba9a7cc9f7,0,
62600630,null,7,62600630,2024-01-17 13:09:48.366,2024-01-17 13:09:48.366,2,5,HB_07,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,5957e818-5cd4-4958-a707-5d35d83cfd93,0,
62600630,null,3,62600630,2024-01-17 13:09:48.366,2024-01-17 13:09:48.366,2,5,HB_03,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,97f66f32-9656-4aeb-bee1-efb7ce6f23fc,0,
62600630,null,5,62600630,2024-01-17 13:09:48.366,2024-01-17 13:09:48.366,2,5,HB_05,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,7404188c-1e96-4168-9b0b-48964ed56984,0,
62600630,null,6,62600630,2024-01-17 13:09:48.366,2024-01-17 13:09:48.366,2,5,HB_06,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,d8c2cb01-9f97-4b25-960d-597126268602,0,
62600630,null,8,62600630,2024-01-17 13:09:48.366,2024-01-17 13:09:48.366,2,5,HB_08,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,3ed82f17-1d60-4030-bed0-3e13b56710b6,0,
62600630,null,9,62600630,2024-01-17 13:09:48.366,2024-01-17 13:09:48.366,2,5,HB_09,sLWoup9uSz,com.sec.android.app.shealth,0,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,e85a1823-cf43-48ab-8d95-cb722850a9ea,0,
62600630,null,1,62600630,2024-01-17 13:09:48.366,2024-01-17 13:09:48.366,2,6,HB_01,sLWoup9uSz,com.sec.android.app.shealth,1,fd3f09e9-5025-4eba-a19c-e3d4492fb78d,47eff6fa-9b6f-4f9e-be31-0220c7dc807e,0,
