com.samsung.shealth.social.public_challenge.history,6320001,1
update_time,create_time,body,challenge_time,deviceuuid,pkg_name,last_sync_time,datauuid
2023-01-05 02:47:28.840,2018-09-20 16:34:02.409,5a673d1b-c83d-4f22-aecf-b62aa01fbb76.body.json,SIMPLE_LEVEL,P2bFQ7/2cI,com.sec.android.app.shealth,1672886848825,5a673d1b-c83d-4f22-aecf-b62aa01fbb76,
2018-11-21 03:41:03.102,2018-09-20 16:34:40.782,0ccfd679-520f-48f4-b022-a83c97e57809.body.json,PcUserProfileDataMY14402972_18,v7IxjSR0Ie,com.sec.android.app.shealth,1542771663079,0ccfd679-520f-48f4-b022-a83c97e57809,
2018-09-20 16:34:47.255,2018-09-20 16:34:47.255,891681f7-d131-456e-a3b8-1ced1b238055.body.json,PcUserProfileDataMY14402972_17,v7IxjSR0Ie,com.sec.android.app.shealth,1537461287250,891681f7-d131-456e-a3b8-1ced1b238055,
