com.samsung.shealth.calories_burned.details,6320001,4
active_calories_goal,version,extra_data,exercise_calories,total_exercise_calories,com.samsung.shealth.calories_burned.create_sh_ver,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.modify_sh_ver,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,65440a1f-f762-4d6f-b20e-034a951abae9.extra_data.json,,,,0.0,0,1986.9535,,2018-05-27 12:58:14.743,2018-05-27 12:58:14.743,0.0,v7IxjSR0Ie,com.sec.android.app.shealth,65440a1f-f762-4d6f-b20e-034a951abae9,1526601600000,
,,8cfb00a3-ec4b-4f12-9c40-862561722289.extra_data.json,,,,0.0,0,1986.9535,,2018-05-27 12:58:14.941,2018-05-27 12:58:14.941,0.0,v7IxjSR0Ie,com.sec.android.app.shealth,8cfb00a3-ec4b-4f12-9c40-862561722289,1526688000000,
,,e70bb621-5e41-43f4-ad09-4316dd482383.extra_data.json,,,,0.0,0,1986.9535,,2018-05-27 12:58:15.081,2018-05-27 12:58:15.081,0.0,v7IxjSR0Ie,com.sec.android.app.shealth,e70bb621-5e41-43f4-ad09-4316dd482383,1526774400000,
,,63563e8e-a9f0-41ab-accd-dacb7da323de.extra_data.json,,,,0.0,0,1986.9535,,2018-05-27 12:58:15.201,2018-05-27 12:58:15.201,0.0,v7IxjSR0Ie,com.sec.android.app.shealth,63563e8e-a9f0-41ab-accd-dacb7da323de,1526860800000,
,,766ec7ca-680e-4c6c-a224-eb47d641b1ab.extra_data.json,,,,0.0,0,1986.9535,,2018-05-27 12:58:15.430,2018-05-27 12:58:15.430,0.0,v7IxjSR0Ie,com.sec.android.app.shealth,766ec7ca-680e-4c6c-a224-eb47d641b1ab,1526947200000,
,,1ddf49ee-44d4-4978-b8f7-122a28a48e2f.extra_data.json,,,,0.0,0,1986.9535,,2018-05-27 12:58:15.588,2018-05-27 12:58:15.588,0.0,v7IxjSR0Ie,com.sec.android.app.shealth,1ddf49ee-44d4-4978-b8f7-122a28a48e2f,1527033600000,
,,58442493-22e6-4889-a57b-0f2f42efa38e.extra_data.json,,,,0.0,0,1986.9535,,2018-05-27 12:58:15.760,2018-05-27 12:58:15.760,0.0,v7IxjSR0Ie,com.sec.android.app.shealth,58442493-22e6-4889-a57b-0f2f42efa38e,1527120000000,
,,3495f447-c538-4205-aebb-f595b11fad04.extra_data.json,,,,0.0,0,1986.9535,,2018-05-27 12:58:15.891,2018-05-27 12:58:15.891,0.0,v7IxjSR0Ie,com.sec.android.app.shealth,3495f447-c538-4205-aebb-f595b11fad04,1527206400000,
,,8c49e3c4-3a1a-42d2-a238-577f9dc4981c.extra_data.json,,,,0.0,0,1986.9535,,2018-05-27 12:58:16.054,2018-05-27 12:58:16.054,0.0,v7IxjSR0Ie,com.sec.android.app.shealth,8c49e3c4-3a1a-42d2-a238-577f9dc4981c,1527292800000,
,,d2349119-dd94-4e39-9c26-6a8e5b722837.extra_data.json,,,,317.80002,362758,2220.498,,2018-10-05 11:04:49.216,2018-09-08 13:51:09.084,20.93,v7IxjSR0Ie,com.sec.android.app.shealth,d2349119-dd94-4e39-9c26-6a8e5b722837,1536364800000,
